,Time,CHEM_SNR_LW1,CHEM_SNR_LW2,CHEM_SNR_LW3,CHEM_SNR_LW4,LAT,LON,ALT,LW1,LW2,LW3,LW4
153,55884,26.173729,0.097839,-0.354269,-2.545368,35.7275229,-78.6961781,25.028,20.826935,-16.558382,-14.626076,-51.722435
154,55885,26.729576,0.062284,-0.925579,-1.689516,35.7275268,-78.6961643,24.998,24.769352,-16.771177,-9.877806,-52.158081
155,55886,29.318829,2.290657,-1.436598,-2.643108,35.7275279,-78.6961621,25.014,24.449162,-16.324358,-10.246517,-51.741257
156,55887,29.318829,2.290657,-1.436598,-2.643108,35.7275281,-78.6961628,25.018,26.001621,-12.7656,-14.022982,-64.743256
157,55888,29.820107,-0.87891,-1.058521,-1.092932,35.7275275,-78.6961636,25.032,28.881199,-11.808491,-20.824219,-73.754066
158,55889,29.820107,-0.87891,-1.058521,-1.092932,35.727527,-78.6961647,24.976,29.674919,-10.294006,-18.228966,-52.127769
159,55890,29.318829,2.290657,-1.436598,-2.643108,35.7275286,-78.696165,25.044,27.037365,-8.397562,-13.726749,-49.617523
160,55891,27.621777,-0.460482,-1.148443,-2.526569,35.7275302,-78.6961634,25.04,27.124313,-9.078066,-10.563263,-59.589104
161,55892,27.621777,-0.460482,-1.148443,-2.526569,35.7275305,-78.6961608,25.066,27.63245,-26.375862,-11.171917,-59.211906
162,55893,27.831383,0.042686,1.577202,-2.382837,35.7275286,-78.6961592,25.028,21.015789,-53.555099,-10.228121,-52.343182
163,55894,28.477455,1.731199,-2.498104,-1.64333,35.7275252,-78.6961605,25.076,15.355724,-28.197063,-7.56946,-51.444771
164,55895,27.85611,-0.440245,0.986488,-0.609797,35.7275229,-78.6961644,25.038,19.15134,-30.925293,-8.374451,-53.50576
165,55896,27.85611,-0.440245,0.986488,-0.609797,35.7275227,-78.6961688,25.049,23.981236,-11.980209,-10.870651,-53.87529
166,55897,26.173729,0.097839,-0.354269,-2.545368,35.7275235,-78.6961721,25.026,27.478172,-12.302326,-13.595303,-50.013168
167,55898,26.173729,0.097839,-0.354269,-2.545368,35.7275248,-78.6961732,25.028,28.77095,-15.576549,-14.52223,-51.009701
168,55899,26.173729,0.097839,-0.354269,-2.545368,35.7275259,-78.6961722,25.018,26.397724,-11.838402,-17.919231,-52.653618
169,55900,26.173729,0.097839,-0.354269,-2.545368,35.7275264,-78.6961702,25.016,27.625298,-13.859018,-18.643555,-53.321819
